id,produto,ano,valor,categoria,product_id
40,Licor de bagaceira,1971,0,DERIVADOS,bfa5999e-60dc-45e0-90db-21a9c7a517b5
41,Vinagre,1971,21500,DERIVADOS,2a44a63a-c779-4e86-ae18-48a54ef57a98
42,Borra líquida,1971,3565644,DERIVADOS,cb9249ac-ef30-4b52-a955-1076e9b2a308
43,Borra seca,1971,0,DERIVADOS,daf0b537-1884-4085-8cea-a82d6300c5c1
44,Vinho Composto,1971,0,DERIVADOS,4a8b12ec-512a-4acd-b024-3731f1eda9fb
45,Pisco,1971,0,DERIVADOS,0b91cf6b-fcbd-45d3-b76d-e6f3fa7993f1
46,Vinho orgânico,1971,0,DERIVADOS,a0823cc8-da4b-48fe-8b51-211b58e96a9a
47,Espumante orgânico,1971,0,DERIVADOS,7bb04a40-c9df-46fe-953f-6b2aa290c2b4
48,Destilado alcoólico simples de bagaceira ,1971,0,DERIVADOS,de2581cb-2acb-485d-ade2-88027b82862f
49,Vinho acidificado ,1971,0,DERIVADOS,1ae5a5df-349e-4d25-9f7c-8cba0eb60aef
50,Mosto parcialmente fermentado ,1971,0,DERIVADOS,6bcc1d6c-8469-4b2d-8248-6271c7e6ffd9
51,Outros derivados,1971,0,DERIVADOS,c6887207-6750-47f0-9d32-db8e056a9623
2,Tinto,1972,118180926,VINHO DE MESA,4d3b1eb4-e1d5-400a-b674-b6300ebbcd88
3,Branco,1972,1812367,VINHO DE MESA,c6be498f-8c47-4366-823b-81a6716585aa
4,Rosado,1972,26960004,VINHO DE MESA,f834f76d-29e5-4a77-a7cb-3a3d8e883182
6,Tinto,1972,6782837,VINHO FINO DE MESA (VINÍFERA),daec6bf6-18ad-457c-9989-08c076617467
7,Branco,1972,13289304,VINHO FINO DE MESA (VINÍFERA),1249125f-7565-4209-99bd-4015a7cf9fbe
8,Rosado,1972,1006630,VINHO FINO DE MESA (VINÍFERA),571a1a7c-e996-468b-b68a-0ab5d3c6214c
10,Suco de uva integral,1972,3509440,SUCO,7fe4f08f-154e-42c7-b310-3273e05ec786
11,Suco de uva concentrado,1972,0,SUCO,5f311455-9c41-44af-9518-f83aea58f4c8
12,Suco de uva adoçado,1972,0,SUCO,76339f96-b158-4d83-b816-c860d9165565
13,Suco de uva orgânico,1972,0,SUCO,08dbf9b4-6d6a-40f4-a657-ba7e1ce21288
14,Suco de uva reconstituído,1972,0,SUCO,d41d0e39-7445-4245-af9c-6a760089221f
16,Espumante,1972,0,DERIVADOS,c1e63b2a-fd6c-477b-b725-b2c77fabe383
17,Espumante moscatel,1972,0,DERIVADOS,03a87b76-358a-482b-8f58-923a00e14212
18,Base espumante,1972,0,DERIVADOS,c9a3f05e-b8a3-4684-b12a-41ec94e2d536
19,Base espumante moscatel,1972,0,DERIVADOS,c1bf4bb9-f05f-4e51-962b-97a3450a1857
20,Base Champenoise champanha,1972,0,DERIVADOS,9aae21fa-cf87-43d4-b6bd-ac368edfde00
21,Base Charmat champanha,1972,0,DERIVADOS,82a8ba49-a70a-4b37-aa37-6c9b83b0858f
22,Bebida de uva,1972,0,DERIVADOS,c5668883-3c70-48f6-ad60-ebcf1a068bbb
23,Polpa de uva,1972,0,DERIVADOS,ddb0bf0c-e3e8-4130-9222-21657d412443
24,Mosto simples,1972,6051822,DERIVADOS,64283c0a-58ca-49e7-9d22-df8ad84f6697
25,Mosto concentrado,1972,0,DERIVADOS,f3b12261-02e2-427e-8a09-471b3352aacd
26,Mosto de uva com bagaço,1972,0,DERIVADOS,4aec3700-d9c2-4a50-8721-b2854b4f4a79
27,Mosto dessulfitado,1972,0,DERIVADOS,0943f59e-ed44-4fc7-96ea-d5c8ac6d87e3
28,Mistelas,1972,871200,DERIVADOS,9fe08e41-0f32-4a99-9ad9-05cefd7cf252
29,Néctar de uva,1972,0,DERIVADOS,9ad5f58d-9d4b-420a-a6cb-8fa0ce96ab72
30,Licorosos,1972,254600,DERIVADOS,03e01468-165c-442e-b33b-57879970b261
31,Compostos,1972,1358300,DERIVADOS,cd0974f5-4b56-4a97-b99f-6d1ffc3c8b35
32,Jeropiga,1972,0,DERIVADOS,77e6f2d4-797a-4d81-8c40-0957074350d8
33,Filtrado,1972,0,DERIVADOS,a5ac8f8f-cde4-4457-a125-c29a49bf4844
34,Frisante,1972,0,DERIVADOS,c3d5424f-544f-44af-a8d9-89f301e0dc78
35,Vinho leve,1972,0,DERIVADOS,e6c548f2-e2bc-463a-86e9-4ae0a02c547c
36,Vinho licoroso,1972,0,DERIVADOS,92b8d2c0-8df4-49c7-958a-a60d136b6752
37,Brandy,1972,0,DERIVADOS,e77b2aab-1518-429e-b2e0-76b80400d467
38,Destilado,1972,0,DERIVADOS,b090645a-514b-47e2-a4f5-5f17965c307a
39,Bagaceira,1972,755350,DERIVADOS,40991e41-c2cc-41fc-a4bd-be91086e58e4
40,Licor de bagaceira,1972,0,DERIVADOS,574e065c-3366-49a3-8f1d-4d6d643dd234
41,Vinagre,1972,8200,DERIVADOS,11a36043-118c-4c95-a343-ee4cf90cd135
42,Borra líquida,1972,3015037,DERIVADOS,28003e02-540f-48c4-be0d-56096fd9e8eb
43,Borra seca,1972,0,DERIVADOS,768feef7-6fa7-4cba-91af-bce0edcca719
44,Vinho Composto,1972,0,DERIVADOS,5a68152d-a0c1-4c42-88c6-5636c7f278ba
45,Pisco,1972,0,DERIVADOS,3113fc9e-9955-43f7-aacf-e1bfd455cd49
