id,control,cultivar,ano,valor,categoria,product_id
73,br_Altesse,Altesse,2015,0,BRANCAS E ROSADAS,04700a64-198c-42d4-a27d-4eca0255e33a
74,br_Alvarinho,Alvarinho,2015,9860,BRANCAS E ROSADAS,c714fa91-61cc-4102-a698-742c6e165188
75,br_Arriloba,Arriloba,2015,34120,BRANCAS E ROSADAS,5406f476-3db8-4d47-994d-5002530861fb
76,br_Auxerrois,Auxerrois,2015,0,BRANCAS E ROSADAS,fe91023a-838e-4082-b93d-b2490479305b
77,br_Burger,Burger,2015,0,BRANCAS E ROSADAS,e9bed069-3dc9-444f-83d4-52bbdcc1ad05
78,br_Chardonnay,Chardonnay,2015,7253167,BRANCAS E ROSADAS,6fea3f74-e590-477f-900e-28d66286f29e
79,br_Chasselas,Chasselas,2015,0,BRANCAS E ROSADAS,36f69384-58bc-42f6-9d56-43df6ee87ed0
80,br_Chenin Blanc,Chenin Blanc,2015,173321,BRANCAS E ROSADAS,f0bdc605-18d8-4fc2-be27-47e0fc7a2d33
81,br_Clairette(1),Clairette(1),2015,0,BRANCAS E ROSADAS,11bb0c77-55c3-4b0d-89b2-402da102e06a
82,br_Colombard,Colombard,2015,512199,BRANCAS E ROSADAS,3730b64c-104d-4ba2-99b8-80ed803f2859
83,br_Flora,Flora,2015,25090,BRANCAS E ROSADAS,8e5bd516-2701-456e-94f3-f04095366875
84,br_Garganega,Garganega,2015,0,BRANCAS E ROSADAS,19c675a7-4120-4362-b084-defbd7c425d1
85,br_Gewurztraminer,Gewurztraminer,2015,207303,BRANCAS E ROSADAS,ffd49656-3d7a-4b74-b30e-ad4d32427bd4
86,br_Gouveio,Gouveio,2015,0,BRANCAS E ROSADAS,c83dc6f0-318f-41d1-a58e-6b6645e6e93f
87,br_Gros Manseng,Gros Manseng,2015,7410,BRANCAS E ROSADAS,a070864d-1db6-46a5-b1b6-07151dc0d4d8
88,br_Italia (Pirovano 65) (PE),Italia (Pirovano 65) (PE),2015,37820,BRANCAS E ROSADAS,c06e4121-5200-40d7-908f-7b905b3eb5af
89,br_Maccabeo,Maccabeo,2015,17670,BRANCAS E ROSADAS,9dfcb647-b385-47cf-8912-b51891015231
90,br_Malvasia,Malvasia,2015,0,BRANCAS E ROSADAS,8c110c89-3d00-447b-99c4-ab0a7577bac5
91,br_Malvasia Amarela,Malvasia Amarela,2015,119930,BRANCAS E ROSADAS,6ac0b4f2-38d5-4b05-837f-7de0c58ff7cd
92,br_Malvasia Bianca,Malvasia Bianca,2015,602081,BRANCAS E ROSADAS,7efda967-d1f2-4aa4-844d-a1ebb1181cb5
93,br_Malvasia Chianti,Malvasia Chianti,2015,0,BRANCAS E ROSADAS,d96f777b-175b-4dd6-b72d-24ea552355d6
94,br_Malvasia Verde,Malvasia Verde,2015,5108,BRANCAS E ROSADAS,1417a0e6-18ae-4705-ba42-eba2a3ee13f5
95,br_Malvasia di Candia,Malvasia di Candia,2015,2512864,BRANCAS E ROSADAS,dfeb8f98-0475-4dde-8faf-6043cef692c6
96,br_Malvasia Istriana,Malvasia Istriana,2015,0,BRANCAS E ROSADAS,2d22f459-964d-41e4-a0ff-fc569d2ac98f
97,br_Mistura de uvas viníferas,Mistura de uvas viníferas branco,2015,0,BRANCAS E ROSADAS,0b7cd668-b637-4d6d-848c-3afb8b2c9c10
98,br_Mistura de uvas viníferas,Mistura de uvas viníferas rosado,2015,0,BRANCAS E ROSADAS,ce327045-5eaa-48eb-882f-66c039814322
99,br_Moscato_branco,Moscato Branco,2015,12788740,BRANCAS E ROSADAS,6885c8c4-e5e8-45d3-a62c-916703db68d6
