id,control,produto,ano,valor,categoria,product_id
59,ou_Vinho_licoroso,  Vinho licoroso,2012,645341,OUTROS PRODUTOS COMERCIALIZADOS,9fad8bc3-36a3-4de9-9817-ae12cb96d474
60,ou_Vinho_leve,  Vinho leve,2012,0,OUTROS PRODUTOS COMERCIALIZADOS,787c9bd2-c47f-423c-b273-701bc4501d4b
61,ou_Vinho_gaseificado,  Vinho gaseificado,2012,0,OUTROS PRODUTOS COMERCIALIZADOS,b43cd75c-7c68-45ba-84d5-6d949bfeed3d
2,vm_Tinto,  Tinto,2013,188033494,VINHO DE MESA,160deb17-00e3-494d-88c3-549e534f6bdf
3,vm_Rosado,  Rosado,2013,1777648,VINHO DE MESA,55286dbc-910e-4dd0-8335-7b6339542b36
4,vm_Branco,  Branco,2013,31779668,VINHO DE MESA,35a8bf37-e574-4d07-ad85-e21dd36f7dab
6,vm_Tinto,  Tinto,2013,19121750,VINHO  FINO DE MESA,093b644b-2c6c-4d37-8013-b2a0e5c258e5
7,vm_Rosado,  Rosado,2013,214269,VINHO  FINO DE MESA,73146beb-4559-4602-907f-96c38afe86a6
8,vm_Branco,  Branco,2013,8576915,VINHO  FINO DE MESA,e61705e3-15dd-40cf-8a05-5c5fd829bb00
12,ve_Tinto,  Tinto,2013,2257,VINHO ESPECIAL,a386778b-09b5-41df-87c9-fa619680fba1
13,ve_Rosado,  Rosado,2013,0,VINHO ESPECIAL,b70b49d7-d588-43bd-b0e3-86016343d994
14,ve_Branco,  Branco,2013,0,VINHO ESPECIAL,ad19cfa3-5464-4056-989d-7232148b471b
16,es_Espumante_Moscatel,  Espumante  Moscatel,2013,3783531,ESPUMANTES ,f7aae474-119f-447a-b38c-df688bd8c51f
17,es_Espumante,  Espumante,2013,12194973,ESPUMANTES ,cc2e23a3-570f-4e87-932a-7b1d29c5fa26
18,es_Espumante Orgânico,  Espumante Orgânico,2013,0,ESPUMANTES ,99c25e8e-44c8-4fd5-b8b7-b858e4cda4b1
20,su_Suco_Natural,   Suco Natural Integral,2013,0,SUCO DE UVAS,629ff1a5-22c3-4f69-8989-96ddf1868a8c
21,su_Suco_Reprocessado,   Suco Reprocessado/reconstituido,2013,0,SUCO DE UVAS,32275f37-a9ab-4cba-beaa-91a7f61b60f3
22,su_Suco_Orgânico,   Suco Orgânico,2013,0,SUCO DE UVAS,2abd9758-9ea9-45c0-a712-e97e14393746
23,su_Outros_sucos,   Outros sucos de uvas,2013,0,SUCO DE UVAS,c2a20531-54d6-44ce-9471-488b63ca1516
26,ou_Outros vinhos (sem informdetalhada,  Outros vinhos (sem informação detalhada),2013,0,OUTROS PRODUTOS COMERCIALIZADOS,d8b3cd09-7cb1-4485-af26-cde51f4b02ac
27,ou_Agrin,"  Agrin (fermentado, acetico misto)",2013,56936,OUTROS PRODUTOS COMERCIALIZADOS,2327d1d7-f1be-4c48-9ebb-f4a22f0b3438
28,ou_Aguardente,  Aguardente de vinho 50°gl,2013,0,OUTROS PRODUTOS COMERCIALIZADOS,c5cbb404-a2cb-42b5-b0a6-9037a5316474
29,ou_Alcool_vinico,  Alcool vinico,2013,0,OUTROS PRODUTOS COMERCIALIZADOS,43be488a-3a77-4447-a450-e961880e0a54
30,ou_Bagaceira,  Bagaceira (graspa),2013,17075,OUTROS PRODUTOS COMERCIALIZADOS,b5bf9230-713c-489c-a70d-96269d47b028
31,ou_Base_champenoise,  Base champenoise champanha,2013,27078,OUTROS PRODUTOS COMERCIALIZADOS,59c55867-d63a-4ce1-ab10-74dc9325025a
32,ou_Base_charmat,  Base charmat champanha,2013,97260,OUTROS PRODUTOS COMERCIALIZADOS,cc09705c-6783-4e8a-aec9-7eac070b72b3
33,ou_Base_espumante,  Base espumante moscatel,2013,26483,OUTROS PRODUTOS COMERCIALIZADOS,14eae861-627c-499a-8940-bd1cc3a9b710
34,ou_Bebida,  Bebida de uva,2013,291188,OUTROS PRODUTOS COMERCIALIZADOS,5f80dc61-1787-4b06-9634-1c38a89258f6
35,ou_Borra_liqwuida,  Borra líquida,2013,22000,OUTROS PRODUTOS COMERCIALIZADOS,9f572e05-7492-47f5-a866-2fd7aad9434c
36,ou_Borra_seca,  Borra seca,2013,62825,OUTROS PRODUTOS COMERCIALIZADOS,91ea65d0-4c6e-4496-b517-1e9167af7a5f
37,ou_Brandy,  Brandy (conhaque),2013,6276,OUTROS PRODUTOS COMERCIALIZADOS,23922dba-42f5-42d4-aec5-49c753c1abfe
38,ou_Cooler,  Cooler,2013,4028017,OUTROS PRODUTOS COMERCIALIZADOS,86c380ec-d6ee-498d-a92b-13efed0b9130
39,ou_Coquetel,  Coquetel com vinho,2013,806955,OUTROS PRODUTOS COMERCIALIZADOS,2e409fab-af68-4478-a32d-a021b276a870
40,ou_Destilado,  Destilado de vinho,2013,24838,OUTROS PRODUTOS COMERCIALIZADOS,b183c612-9688-4338-bbe1-559fdc9291e4
